age,income,credit_score,debt_amount,monthly_expenses,employment_years,loan_amount,existing_credits,interest_rate,payment_history,default
21.0,54551.11,644.0,43972.05,10000.0,0.9,27475.8,1.0,18.71,63.94,1.0
32.0,20000.0,534.0,38593.24,4015.9,1.7,37628.33,5.0,11.53,83.06,1.0
42.0,47458.34,616.0,22505.24,10000.0,4.8,22076.31,,3.0,90.19,1.0
33.0,57748.81,666.0,29024.4,10000.0,3.3,38531.67,0.0,12.17,100.0,0.0
50.0,20000.0,663.0,7384.71,7982.49,0.4,16660.78,6.0,10.1,83.99,1.0
37.0,26964.17,603.0,22286.64,10000.0,8.9,36859.11,1.0,11.03,100.0,1.0
46.0,46436.01,572.0,28847.71,10000.0,1.0,19474.91,7.0,12.26,74.6,1.0
45.0,76081.77,709.0,15388.37,10000.0,7.1,16061.96,0.0,8.93,79.83,1.0
36.0,36967.74,646.0,20338.34,10000.0,2.9,41339.43,3.0,10.56,100.0,1.0
64.0,96794.53,756.0,34337.25,10000.0,1.5,21673.96,6.0,10.42,64.96,0.0
39.0,38595.87,674.0,28012.6,10000.0,2.3,47363.24,7.0,13.86,93.84,1.0
64.0,39950.44,521.0,2208.24,10000.0,1.2,23832.49,0.0,12.74,88.26,1.0
30.0,50941.39,792.0,47511.05,10000.0,5.3,26159.09,6.0,11.59,63.59,0.0
51.0,20000.0,647.0,10660.27,8870.57,1.5,33085.9,1.0,16.1,57.72,
53.0,25278.04,664.0,29687.87,6017.99,4.8,30969.34,4.0,12.91,84.97,1.0
45.0,20000.0,637.0,28727.1,5139.61,0.8,17312.02,2.0,11.3,100.0,0.0
40.0,24109.86,744.0,48771.09,6567.64,1.0,35128.2,1.0,12.58,67.11,1.0
36.0,26123.71,686.0,39001.61,9162.1,1.9,36686.39,0.0,11.48,75.51,1.0
37.0,24892.69,588.0,65033.24,6230.27,7.8,46839.93,4.0,11.45,85.53,1.0
40.0,38224.78,521.0,1720.4,10000.0,1.3,48915.8,3.0,11.29,100.0,1.0
46.0,28618.38,803.0,32596.37,7600.05,1.2,35769.17,,17.08,77.83,0.0
50.0,30647.35,630.0,49301.67,7532.96,8.5,33136.23,7.0,12.12,86.36,1.0
,62011.76,630.0,45530.15,10000.0,0.2,38834.93,6.0,8.18,92.89,0.0
53.0,56997.29,676.0,33155.21,10000.0,1.2,37934.3,7.0,15.49,100.0,1.0
,20891.75,683.0,10577.66,6641.71,2.9,30774.56,6.0,15.44,74.81,1.0
31.0,33961.21,667.0,12072.57,10000.0,6.1,24510.45,1.0,15.55,89.11,1.0
45.0,20000.0,692.0,32837.2,4366.64,1.7,20599.33,0.0,16.04,78.48,1.0
28.0,23348.71,687.0,13858.3,6477.56,1.4,23346.02,6.0,9.26,92.1,0.0
19.0,34306.36,750.0,12182.36,10000.0,2.3,48559.79,6.0,13.59,100.0,1.0
45.0,42874.37,669.0,7330.44,10000.0,2.4,25925.79,6.0,11.59,78.98,0.0
42.0,33191.05,817.0,19437.07,10000.0,1.3,37834.31,1.0,12.53,75.8,1.0
39.0,20000.0,669.0,20356.36,4781.95,0.6,44332.82,4.0,14.57,100.0,1.0
62.0,64439.99,697.0,7865.76,10000.0,0.8,27315.92,2.0,14.12,91.35,0.0
70.0,48345.01,618.0,15896.03,10000.0,1.9,28382.29,1.0,9.86,83.67,0.0
61.0,40095.18,649.0,30725.9,10000.0,1.1,30430.84,2.0,10.06,84.42,0.0
41.0,27330.68,608.0,3107.15,5686.83,3.1,48604.76,,13.41,73.25,1.0
62.0,20000.0,552.0,,4277.74,2.7,24170.34,3.0,9.12,67.16,0.0
22.0,26778.38,755.0,24550.85,10000.0,20.2,18598.39,1.0,10.23,99.65,0.0
28.0,44693.12,612.0,6529.5,10000.0,0.8,30070.32,6.0,12.57,77.77,1.0
55.0,35610.4,566.0,29397.04,10000.0,1.7,28177.13,7.0,12.25,96.77,1.0
40.0,23216.96,766.0,31318.33,5304.07,6.7,18179.38,2.0,13.57,86.45,1.0
37.0,22748.91,687.0,29249.58,7617.38,4.7,24282.46,0.0,12.81,78.02,0.0
22.0,26706.21,690.0,21883.96,8911.11,0.3,37890.57,1.0,8.34,84.19,1.0
42.0,37327.14,621.0,54350.03,10000.0,4.3,32848.16,6.0,11.31,79.71,1.0
42.0,75302.71,737.0,54279.8,10000.0,0.8,25594.83,0.0,8.44,91.51,0.0
33.0,27093.3,406.0,61956.64,8276.27,1.1,46716.12,0.0,8.38,,1.0
51.0,27072.64,544.0,50585.77,6524.24,5.0,33676.56,1.0,13.8,61.52,1.0
44.0,38399.72,576.0,4165.89,10000.0,6.4,26166.31,6.0,11.36,62.93,1.0
46.0,36446.79,711.0,36872.92,10000.0,1.1,23498.71,7.0,14.39,92.18,1.0
35.0,33322.98,616.0,42508.71,8009.07,4.2,28631.57,7.0,8.86,100.0,1.0
24.0,38562.36,593.0,4137.91,9345.41,1.4,49251.29,3.0,10.25,100.0,1.0
24.0,34017.08,556.0,17901.83,8146.75,0.8,21142.52,1.0,6.29,100.0,1.0
29.0,40356.53,595.0,28326.37,10000.0,0.1,59566.92,6.0,12.57,71.16,1.0
58.0,20000.0,530.0,49817.38,5840.08,4.2,18849.23,0.0,16.53,86.75,1.0
,50385.68,686.0,2395.19,10000.0,1.2,36436.4,3.0,7.86,77.37,1.0
27.0,33246.18,713.0,35120.07,10000.0,8.5,18367.6,2.0,15.28,71.75,1.0
48.0,39417.41,668.0,,10000.0,3.0,37836.49,2.0,13.39,61.03,1.0
36.0,41560.25,605.0,8361.06,10000.0,2.4,32496.75,7.0,15.17,99.61,0.0
49.0,42964.97,691.0,26429.64,10000.0,3.3,29455.12,4.0,18.46,71.81,0.0
57.0,75149.03,542.0,37204.25,10000.0,0.3,31389.51,5.0,14.15,83.78,1.0
68.0,43874.04,661.0,8586.28,10000.0,1.2,34341.61,0.0,10.06,45.86,1.0
32.0,22873.71,534.0,41373.51,9837.78,1.2,19356.69,3.0,12.28,69.25,0.0
50.0,59645.7,674.0,16422.61,10000.0,2.0,30214.97,1.0,7.61,78.93,1.0
67.0,42649.56,757.0,13721.6,10000.0,3.5,14805.88,1.0,9.46,100.0,1.0
26.0,67616.99,651.0,27248.77,10000.0,7.5,20122.33,7.0,14.53,100.0,1.0
43.0,37200.51,727.0,52714.6,8042.93,1.7,29331.47,7.0,9.77,68.52,1.0
22.0,45306.39,637.0,29913.54,10000.0,1.8,40301.18,5.0,8.64,80.25,0.0
36.0,20000.0,546.0,37114.91,5429.48,12.4,34324.43,1.0,13.59,63.85,1.0
47.0,29954.87,591.0,9018.37,10000.0,4.7,33989.37,7.0,9.52,84.96,0.0
26.0,20000.0,756.0,5527.75,9362.03,2.2,32041.6,3.0,11.78,63.35,0.0
38.0,64002.28,515.0,2750.97,10000.0,0.6,42226.25,2.0,8.47,100.0,1.0
40.0,60934.88,749.0,,,0.7,28969.92,0.0,10.3,69.36,1.0
37.0,39160.61,625.0,13716.85,10000.0,3.5,39564.17,5.0,7.19,75.45,0.0
41.0,33837.62,555.0,23204.41,7522.21,3.4,30771.58,1.0,9.36,,0.0
42.0,54971.13,694.0,40072.47,10000.0,7.2,30568.72,5.0,12.01,89.53,0.0
46.0,79871.85,771.0,33892.71,10000.0,4.0,39856.21,1.0,15.9,76.45,0.0
56.0,70194.88,677.0,34763.97,10000.0,4.2,39159.96,1.0,10.83,100.0,1.0
71.0,51423.13,660.0,41516.12,10000.0,0.6,21962.67,5.0,20.06,86.4,1.0
71.0,39952.03,641.0,43126.54,9827.1,1.0,29031.23,2.0,10.95,90.99,1.0
70.0,66916.22,780.0,36500.77,10000.0,1.1,21654.59,3.0,16.41,81.84,1.0
32.0,20000.0,625.0,28834.88,4305.17,0.7,27923.71,2.0,8.81,89.53,1.0
38.0,20000.0,657.0,32792.65,7902.75,6.0,16294.39,2.0,9.9,75.05,0.0
30.0,51863.07,667.0,57150.49,10000.0,0.5,47890.89,5.0,7.71,90.25,1.0
50.0,22262.63,,19378.24,8848.48,0.6,35760.95,5.0,14.29,60.92,1.0
36.0,32406.66,776.0,34758.89,10000.0,3.0,23147.37,5.0,15.34,96.7,0.0
23.0,38578.6,668.0,10018.05,10000.0,1.4,29125.98,4.0,15.19,93.84,0.0
52.0,39831.62,745.0,10847.71,9995.82,0.9,42396.95,5.0,11.96,50.03,0.0
35.0,52317.1,715.0,18151.3,10000.0,1.7,10748.48,1.0,4.91,99.52,1.0
58.0,24051.83,798.0,45556.03,6920.32,1.0,13915.99,1.0,8.74,73.3,1.0
24.0,20000.0,612.0,21974.83,5446.4,0.7,27794.01,3.0,13.07,,1.0
32.0,42029.47,661.0,25703.29,10000.0,0.5,46964.52,3.0,13.89,95.09,1.0
18.0,34828.29,637.0,32359.9,10000.0,0.7,22022.25,1.0,10.64,66.8,0.0
69.0,42890.41,657.0,45892.97,10000.0,0.6,31473.05,1.0,12.44,79.79,1.0
28.0,21111.81,577.0,28606.08,6863.45,2.3,27540.5,7.0,12.42,65.7,0.0
56.0,39290.37,580.0,27410.43,10000.0,2.6,33218.7,6.0,14.45,58.95,1.0
48.0,85773.11,566.0,38194.91,10000.0,0.8,,6.0,13.49,100.0,1.0
19.0,40002.19,641.0,17278.56,10000.0,1.5,27241.02,7.0,12.79,58.65,0.0
18.0,32224.87,696.0,35132.65,10000.0,4.1,27534.26,2.0,11.44,44.53,0.0
44.0,76633.19,664.0,2028.09,10000.0,2.8,42225.44,3.0,11.07,80.18,1.0
29.0,26333.47,698.0,13247.64,10000.0,1.9,17741.36,7.0,16.81,100.0,1.0
34.0,28946.51,539.0,30048.88,10000.0,6.5,22128.53,7.0,13.63,81.71,1.0
41.0,25896.66,669.0,38177.99,5885.18,2.2,21272.17,6.0,15.43,95.67,0.0
26.0,29576.06,640.0,46213.31,9592.16,3.7,24413.86,5.0,17.33,80.95,1.0
37.0,68199.28,589.0,6272.07,10000.0,2.6,24892.68,4.0,14.27,,
35.0,20000.0,694.0,,8648.8,9.5,47728.12,5.0,10.27,88.67,0.0
19.0,27552.89,627.0,15913.37,10000.0,2.2,32881.65,7.0,9.99,96.32,1.0
21.0,29201.05,599.0,32897.55,7232.12,5.0,25978.31,1.0,14.97,99.32,1.0
22.0,50014.92,585.0,6237.52,10000.0,6.0,28652.0,6.0,10.2,78.02,0.0
47.0,62337.01,712.0,31577.59,10000.0,2.4,33021.13,0.0,12.66,80.0,0.0
46.0,52927.96,679.0,11789.27,10000.0,2.6,36114.13,1.0,11.69,92.18,1.0
35.0,35217.41,708.0,18152.93,10000.0,3.7,26682.27,2.0,18.62,88.5,1.0
51.0,36770.89,716.0,17789.79,8074.53,4.9,42535.34,1.0,10.68,61.66,0.0
66.0,26766.94,627.0,50008.17,5858.82,2.8,30093.91,3.0,10.95,92.37,1.0
53.0,108476.7,793.0,42069.65,10000.0,4.6,29527.09,6.0,9.79,79.69,0.0
30.0,44854.08,534.0,22705.74,10000.0,5.5,24502.92,4.0,12.98,69.5,1.0
24.0,80728.72,514.0,32137.61,10000.0,1.2,32061.87,7.0,12.77,83.44,0.0
40.0,39178.15,599.0,22539.2,10000.0,2.4,29343.2,4.0,14.19,81.4,1.0
41.0,40161.46,619.0,9213.37,10000.0,6.7,34438.61,4.0,9.55,92.22,1.0
44.0,30713.01,707.0,19468.06,10000.0,1.2,25069.48,0.0,7.3,87.68,1.0
30.0,43699.19,684.0,29129.96,10000.0,5.3,39927.79,1.0,9.64,87.98,1.0
46.0,56246.3,612.0,20559.46,10000.0,0.4,19114.83,5.0,9.03,53.06,1.0
49.0,62471.76,491.0,30146.66,10000.0,1.5,23316.32,6.0,12.7,80.03,0.0
46.0,59979.16,440.0,11219.39,,2.1,37520.34,0.0,12.79,77.98,1.0
45.0,31221.3,836.0,48024.19,7322.92,2.2,35381.33,1.0,14.48,86.28,
64.0,24942.04,793.0,28693.12,5793.37,2.4,27543.47,4.0,16.15,84.52,1.0
34.0,38820.79,554.0,34903.27,10000.0,1.3,25094.51,1.0,13.32,56.97,1.0
42.0,32681.92,728.0,6314.97,10000.0,1.1,25963.07,0.0,16.97,55.24,0.0
26.0,53253.31,612.0,17085.04,10000.0,4.3,28085.95,3.0,11.05,81.65,0.0
50.0,33351.45,490.0,17637.64,10000.0,0.4,19100.62,3.0,10.72,69.12,0.0
,35812.68,563.0,19182.18,10000.0,3.8,42447.89,5.0,11.22,100.0,1.0
41.0,33125.14,716.0,53972.62,6928.86,,30909.04,6.0,10.17,75.88,1.0
29.0,97977.04,552.0,29507.0,10000.0,1.5,37448.42,6.0,12.95,76.62,1.0
29.0,26241.56,675.0,50615.3,10000.0,13.5,41994.97,7.0,16.11,84.63,1.0
49.0,65222.83,569.0,14979.34,10000.0,2.7,28516.21,6.0,4.49,73.47,1.0
32.0,20190.61,689.0,22132.47,7625.5,28.1,40381.74,7.0,15.17,100.0,1.0
51.0,54235.77,588.0,11681.55,10000.0,0.3,29222.2,3.0,5.49,,0.0
63.0,55661.01,672.0,39071.64,10000.0,,58076.51,6.0,12.64,94.24,1.0
57.0,26754.79,780.0,40625.65,10000.0,2.1,17445.82,0.0,13.38,54.54,0.0
43.0,30696.6,665.0,60658.36,10000.0,2.3,29369.68,3.0,7.97,81.29,0.0
34.0,38232.5,573.0,7198.82,10000.0,2.1,25424.46,5.0,8.85,84.34,0.0
47.0,47545.07,660.0,16555.26,10000.0,1.7,18109.16,6.0,15.11,85.3,0.0
64.0,34212.79,524.0,13827.1,10000.0,0.4,27486.51,7.0,11.95,84.81,0.0
41.0,20000.0,664.0,291.58,9869.43,1.0,21341.31,0.0,14.5,76.47,1.0
25.0,46021.11,691.0,44049.3,10000.0,5.0,30164.62,6.0,10.87,62.76,1.0
63.0,49182.61,576.0,32767.1,10000.0,5.3,43914.34,3.0,9.84,91.44,0.0
32.0,20494.1,631.0,51119.08,7658.38,6.1,40156.47,6.0,15.22,60.99,1.0
20.0,47221.31,637.0,41327.45,10000.0,2.9,32263.75,4.0,6.03,66.72,1.0
42.0,20000.0,592.0,33238.26,4923.91,2.4,19602.52,2.0,15.36,79.72,0.0
42.0,36932.67,725.0,10129.81,10000.0,3.1,24544.32,1.0,13.96,87.16,1.0
49.0,34524.06,639.0,32853.21,10000.0,2.1,41201.89,0.0,13.98,53.17,1.0
41.0,20000.0,745.0,21298.4,4405.74,6.2,29935.89,5.0,12.11,66.97,0.0
28.0,43695.36,697.0,16331.77,10000.0,27.6,29070.92,3.0,9.95,90.6,0.0
29.0,35404.81,563.0,32245.8,10000.0,9.7,34945.05,1.0,11.17,81.64,0.0
53.0,57047.76,665.0,56831.64,10000.0,3.3,20630.14,5.0,11.56,87.18,1.0
32.0,24066.34,753.0,10387.64,8425.69,1.1,37438.24,2.0,9.59,53.0,0.0
30.0,62568.64,614.0,8972.39,10000.0,11.1,23429.56,4.0,11.63,73.3,1.0
51.0,20000.0,591.0,5483.37,4634.95,2.2,54826.78,7.0,9.87,67.12,1.0
26.0,78188.66,735.0,30771.48,10000.0,11.5,29278.97,2.0,10.71,97.14,1.0
30.0,35912.92,557.0,25604.54,10000.0,0.1,21182.9,4.0,10.42,62.67,0.0
25.0,48417.82,588.0,32176.39,10000.0,5.0,17235.17,6.0,4.98,98.56,0.0
49.0,23672.12,791.0,33468.88,5502.26,5.7,31126.79,7.0,12.37,99.22,0.0
18.0,38394.87,592.0,33786.38,10000.0,7.5,43404.39,4.0,15.59,97.4,0.0
60.0,34818.79,641.0,6555.4,10000.0,1.2,33398.85,1.0,12.76,59.89,1.0
38.0,20000.0,650.0,18193.66,8516.17,5.8,32249.44,4.0,14.28,86.68,0.0
41.0,31002.8,570.0,28970.77,10000.0,5.0,28491.0,7.0,11.11,76.56,1.0
25.0,22939.98,766.0,42094.43,8009.5,4.5,11549.95,4.0,14.96,69.55,0.0
45.0,43475.39,496.0,7019.44,10000.0,1.0,21600.37,5.0,16.19,100.0,1.0
21.0,58017.91,563.0,51452.79,10000.0,1.5,30547.78,3.0,17.77,93.69,0.0
33.0,28799.73,574.0,40032.89,6713.52,2.5,16302.24,5.0,13.71,87.33,
48.0,20000.0,733.0,33321.19,9302.47,1.4,31789.56,2.0,12.19,77.78,0.0
25.0,39547.26,751.0,41124.26,10000.0,5.4,41911.43,1.0,11.55,87.63,1.0
49.0,46490.39,582.0,19270.66,10000.0,1.2,39755.0,0.0,15.91,97.16,0.0
43.0,97723.98,643.0,27658.02,10000.0,1.9,35421.79,7.0,6.87,83.07,1.0
37.0,20000.0,573.0,35993.35,6370.67,4.0,27792.23,5.0,15.32,76.41,1.0
22.0,20000.0,668.0,7532.9,8468.28,0.8,19922.91,5.0,10.36,64.37,0.0
18.0,20000.0,773.0,14827.83,7024.92,1.4,18752.69,0.0,9.35,90.66,1.0
53.0,29025.24,558.0,31693.8,10000.0,3.4,5464.44,3.0,8.66,80.71,0.0
23.0,32139.8,624.0,10258.65,10000.0,14.9,30271.11,4.0,13.93,80.09,0.0
21.0,37166.92,645.0,8193.31,10000.0,2.9,31878.42,6.0,14.81,91.03,1.0
48.0,24239.62,741.0,36475.41,10000.0,19.0,50439.59,4.0,14.07,88.48,1.0
48.0,62369.25,603.0,16452.56,10000.0,0.8,35927.69,7.0,12.47,67.16,1.0
41.0,36788.23,754.0,26235.56,10000.0,2.8,34591.89,2.0,11.01,85.25,1.0
45.0,21492.62,586.0,14932.76,6441.38,2.3,28656.4,6.0,14.07,85.68,0.0
22.0,31414.08,567.0,12704.37,10000.0,2.3,21378.61,3.0,10.51,78.09,0.0
55.0,61205.82,724.0,24179.37,10000.0,0.3,48772.21,0.0,14.08,81.54,1.0
47.0,23256.04,615.0,34140.26,9510.77,3.9,22715.03,1.0,9.21,82.93,1.0
40.0,53365.89,650.0,47222.26,10000.0,2.0,36705.6,5.0,15.66,59.76,1.0
36.0,20764.38,625.0,72384.13,4756.63,1.8,36183.52,4.0,14.93,82.55,1.0
53.0,65002.03,554.0,13508.67,10000.0,2.0,17375.49,6.0,8.03,67.84,0.0
44.0,36354.12,687.0,20064.1,10000.0,1.3,42239.2,2.0,19.66,74.11,0.0
47.0,46164.5,682.0,27080.43,10000.0,3.2,25289.46,0.0,15.95,83.02,0.0
43.0,29959.44,845.0,23256.8,6326.09,2.4,28701.05,3.0,13.35,67.33,0.0
61.0,48936.15,509.0,5528.95,10000.0,0.6,10400.41,4.0,8.31,100.0,1.0
36.0,20000.0,574.0,3127.11,6736.74,1.3,25192.43,5.0,17.57,62.01,0.0
45.0,34506.61,677.0,10296.86,10000.0,1.3,33743.09,0.0,11.68,49.24,0.0
29.0,69776.28,816.0,22348.69,10000.0,9.0,48903.83,1.0,11.49,76.72,0.0
60.0,34893.1,516.0,20633.11,10000.0,1.7,19599.65,6.0,13.49,69.99,0.0
48.0,,548.0,9450.64,10000.0,2.2,22239.43,4.0,12.36,70.89,1.0
39.0,24541.48,743.0,36743.16,10000.0,2.3,29916.02,3.0,13.46,68.01,0.0
34.0,55896.24,678.0,21054.15,10000.0,4.6,28495.14,3.0,9.9,74.23,1.0
52.0,53348.56,521.0,19668.87,10000.0,1.7,32728.17,5.0,15.26,93.38,0.0
51.0,29143.02,640.0,38571.46,7505.89,1.8,29464.54,7.0,12.8,100.0,1.0
36.0,61931.43,705.0,8819.96,10000.0,1.6,44184.85,1.0,11.28,98.8,1.0
58.0,27300.24,611.0,32221.81,10000.0,1.6,4372.32,1.0,7.31,84.47,0.0
18.0,20000.0,581.0,25185.13,8560.66,1.4,18351.91,0.0,7.5,67.97,1.0
35.0,21277.29,688.0,42947.9,4561.67,1.1,25857.95,6.0,8.68,60.67,0.0
31.0,20000.0,544.0,49479.87,9159.28,0.1,24129.43,6.0,7.23,80.89,1.0
35.0,35448.04,654.0,24389.11,10000.0,0.5,29253.46,7.0,15.06,100.0,1.0
57.0,32241.33,640.0,32506.41,10000.0,1.2,36926.51,7.0,9.53,84.95,0.0
51.0,59000.55,547.0,17122.83,10000.0,3.7,40359.46,6.0,14.55,74.88,1.0
36.0,109053.63,661.0,20835.63,10000.0,1.3,37952.49,0.0,10.65,,1.0
30.0,48004.48,570.0,22894.4,10000.0,,22185.09,1.0,12.22,75.92,1.0
18.0,33654.04,814.0,19592.72,6914.49,5.5,40079.56,3.0,6.06,69.49,0.0
40.0,45157.21,692.0,24929.14,10000.0,0.8,6001.51,7.0,18.15,65.47,1.0
41.0,39666.13,637.0,38457.96,8439.5,2.3,3656.82,2.0,9.5,91.17,1.0
41.0,50379.22,574.0,1329.57,10000.0,0.1,18513.26,1.0,,100.0,1.0
31.0,46333.69,675.0,4252.56,10000.0,1.5,22805.86,6.0,10.95,99.49,0.0
22.0,27697.25,623.0,36092.97,6456.74,0.9,22622.77,5.0,12.17,74.83,0.0
47.0,31049.24,597.0,8937.55,6959.58,1.4,36190.19,0.0,8.67,70.02,1.0
34.0,32513.43,640.0,36315.53,9376.66,4.2,33749.44,1.0,11.68,65.73,1.0
39.0,53020.7,576.0,24680.79,10000.0,1.6,26106.8,5.0,9.53,55.75,1.0
38.0,73269.7,611.0,23078.32,10000.0,6.0,49331.94,5.0,12.48,77.64,0.0
30.0,20707.92,535.0,1609.62,5202.06,0.2,40788.3,1.0,13.27,76.23,0.0
18.0,63239.98,564.0,12700.28,10000.0,4.3,21896.59,4.0,12.05,95.04,1.0
29.0,72072.32,648.0,30763.56,10000.0,10.8,28338.49,6.0,12.24,73.9,1.0
44.0,66146.32,666.0,36414.02,10000.0,1.6,39294.69,7.0,13.04,65.59,0.0
59.0,22145.6,662.0,38611.87,9210.94,0.3,30256.6,6.0,13.47,,1.0
27.0,60154.02,702.0,10217.5,10000.0,2.7,39905.05,3.0,12.43,56.33,1.0
41.0,21513.03,705.0,19770.32,5808.04,5.8,17977.91,5.0,10.76,72.16,0.0
39.0,43377.72,712.0,,10000.0,4.8,11452.14,3.0,11.81,61.76,0.0
35.0,26349.82,450.0,45891.01,6056.62,0.9,33282.67,5.0,8.87,62.94,
52.0,77278.0,795.0,16119.04,10000.0,2.9,15861.69,7.0,9.22,100.0,1.0
58.0,20000.0,832.0,16429.57,7051.29,1.5,37999.04,7.0,16.19,100.0,1.0
24.0,27114.32,581.0,23781.82,10000.0,2.5,21792.03,3.0,15.25,71.45,1.0
40.0,20000.0,762.0,27750.52,9793.42,6.0,38715.77,0.0,9.71,73.25,0.0
44.0,20816.94,533.0,33678.89,6824.41,4.3,42816.05,0.0,,92.95,1.0
25.0,20000.0,625.0,39468.65,6497.94,2.2,35194.64,7.0,13.33,85.53,1.0
46.0,48994.16,664.0,3056.08,10000.0,2.7,15502.52,3.0,16.14,88.01,1.0
33.0,20000.0,585.0,16539.22,9612.6,2.7,20236.48,3.0,15.38,95.69,0.0
36.0,49496.57,654.0,39061.71,10000.0,1.0,41901.1,1.0,12.95,69.74,
40.0,29470.02,591.0,55332.62,10000.0,2.3,37212.19,6.0,8.35,,1.0
52.0,26797.85,796.0,20310.12,9528.36,0.2,18248.67,7.0,11.12,49.54,0.0
39.0,49042.48,675.0,10137.59,,4.5,8969.5,0.0,8.18,74.97,1.0
45.0,36748.84,645.0,38339.42,8664.69,4.0,16101.24,7.0,12.43,75.39,0.0
,75435.7,664.0,14964.19,10000.0,3.5,21783.98,3.0,10.95,75.03,1.0
34.0,67085.99,666.0,35901.74,10000.0,2.8,43033.61,4.0,10.92,81.73,1.0
27.0,20000.0,589.0,19983.36,4976.94,7.5,21619.93,4.0,14.36,82.8,1.0
37.0,36880.05,769.0,8909.0,10000.0,0.7,10385.8,4.0,8.42,80.26,0.0
36.0,25268.82,722.0,21792.31,10000.0,1.5,29015.06,6.0,10.74,67.23,0.0
45.0,59551.24,600.0,19247.1,10000.0,2.8,21065.62,0.0,14.26,88.07,1.0
37.0,39695.27,615.0,18899.04,10000.0,0.6,29607.32,4.0,14.68,93.15,0.0
36.0,30018.65,735.0,53588.57,7594.93,4.0,7371.9,,,81.37,0.0
51.0,21952.44,813.0,33968.2,10000.0,1.9,19967.92,5.0,10.44,83.82,1.0
40.0,26397.97,704.0,35671.22,10000.0,0.3,47147.85,5.0,11.36,100.0,0.0
18.0,50325.53,633.0,31717.33,10000.0,5.6,55669.41,7.0,5.73,75.69,1.0
44.0,34452.3,720.0,56589.64,10000.0,17.0,31704.32,5.0,13.35,84.92,1.0
25.0,66846.21,616.0,37274.3,10000.0,1.5,23632.56,7.0,12.26,75.26,1.0
23.0,63963.43,580.0,969.74,10000.0,5.4,20304.43,2.0,13.19,75.58,1.0
62.0,54837.09,632.0,66465.23,10000.0,1.5,25478.65,1.0,21.4,63.82,1.0
19.0,35330.02,652.0,24964.93,10000.0,3.3,20296.5,5.0,,58.16,0.0
29.0,37411.48,473.0,7315.76,10000.0,1.0,44657.26,4.0,11.88,99.39,1.0
30.0,30034.64,698.0,14117.87,10000.0,0.3,33357.54,6.0,12.79,91.66,0.0
51.0,40435.33,812.0,27640.41,10000.0,1.4,20915.3,6.0,14.15,78.66,0.0
52.0,55051.34,678.0,13104.8,10000.0,0.8,36253.26,3.0,15.84,74.23,1.0
29.0,64731.11,682.0,37779.16,,2.5,15919.19,1.0,17.13,49.79,1.0
63.0,30412.96,575.0,35120.51,6386.38,3.8,59612.84,3.0,7.87,60.48,1.0
30.0,23235.65,660.0,9596.16,8352.0,3.7,17608.28,7.0,8.6,74.02,1.0
31.0,31187.68,731.0,11490.4,7997.14,3.6,38013.94,2.0,16.29,87.04,0.0
36.0,38761.47,696.0,20988.81,10000.0,0.3,38934.16,4.0,12.63,91.66,0.0
58.0,20000.0,646.0,12161.78,7882.24,3.7,32342.35,6.0,10.7,85.96,0.0
67.0,22831.75,642.0,16324.55,6256.68,8.7,40630.47,5.0,7.53,92.96,1.0
39.0,39888.1,,29835.93,10000.0,2.5,11943.67,4.0,9.7,85.6,0.0
20.0,64195.87,606.0,24387.9,10000.0,8.6,41137.42,0.0,13.96,86.1,0.0
52.0,78926.67,586.0,11302.58,10000.0,5.4,18065.04,6.0,10.41,100.0,0.0
47.0,44615.37,713.0,7614.3,10000.0,0.5,10201.79,6.0,14.18,100.0,0.0
37.0,31987.71,606.0,50662.73,10000.0,1.9,46939.57,3.0,10.94,70.19,1.0
24.0,54598.09,593.0,22830.98,10000.0,2.4,30680.97,7.0,14.9,92.86,1.0
47.0,47846.78,682.0,23901.19,10000.0,0.7,6510.34,5.0,15.49,90.11,0.0
,34081.39,736.0,14027.54,10000.0,0.9,35676.22,2.0,7.25,68.5,0.0
18.0,41976.18,554.0,15095.34,10000.0,3.7,23121.65,0.0,8.7,60.57,1.0
18.0,29463.08,524.0,54135.7,10000.0,1.3,31069.07,4.0,9.67,83.18,1.0
18.0,24347.86,772.0,8216.84,8164.49,0.5,33864.95,6.0,11.65,91.28,1.0
35.0,46670.72,599.0,17663.75,10000.0,13.2,36908.22,7.0,17.68,92.61,0.0
39.0,35179.13,568.0,28022.8,9407.68,1.8,27909.01,0.0,5.84,98.91,1.0
29.0,35410.84,537.0,32226.44,10000.0,3.5,38816.56,7.0,15.06,77.59,1.0
39.0,29528.5,600.0,14161.66,10000.0,1.6,21746.96,1.0,8.57,78.37,1.0
61.0,29228.55,559.0,37458.57,10000.0,5.2,22798.12,7.0,11.85,100.0,0.0
60.0,20194.19,713.0,3278.75,4732.42,1.3,52290.44,7.0,17.18,78.4,0.0
35.0,25344.0,666.0,22297.62,6509.34,0.4,24854.46,4.0,8.67,88.27,1.0
29.0,59607.44,709.0,30135.63,10000.0,2.5,37927.65,6.0,10.24,81.78,1.0
47.0,33768.01,783.0,37773.22,10000.0,0.4,31728.37,1.0,11.53,77.55,1.0
53.0,20000.0,563.0,23979.74,7093.02,1.1,26000.61,0.0,17.34,75.55,0.0
46.0,34050.68,641.0,4817.42,10000.0,1.0,29699.29,2.0,13.33,100.0,0.0
